looplen	looppos	num_site	nmut	rate	sd	Sample	ss_range
3	1	103092	11	6.929953e-01	2.089571e-01	A3B	12-15
3	2	175311	14	5.186585e-01	1.386228e-01	A3B	12-15
3	3	161165	25	1.007469e+00	2.015095e-01	A3B	12-15
4	1	76741	7	5.924247e-01	2.239257e-01	A3B	12-15
4	2	141382	17	7.809395e-01	1.894170e-01	A3B	12-15
4	3	121438	18	9.626768e-01	2.269219e-01	A3B	12-15
4	4	169426	26	9.966803e-01	1.954801e-01	A3B	12-15
5	1	58092	7	7.826081e-01	2.958159e-01	A3B	12-15
5	2	129023	19	9.564209e-01	2.194342e-01	A3B	12-15
5	3	86333	7	5.266036e-01	1.990455e-01	A3B	12-15
5	4	104339	17	1.058193e+00	2.566704e-01	A3B	12-15
5	5	80266	10	8.091536e-01	2.558928e-01	A3B	12-15
6	1	59356	8	8.753625e-01	3.095083e-01	A3B	12-15
6	2	90403	11	7.902644e-01	2.382882e-01	A3B	12-15
6	3	83852	11	8.520044e-01	2.569059e-01	A3B	12-15
6	4	87431	11	8.171275e-01	2.463887e-01	A3B	12-15
6	5	94115	14	9.661216e-01	2.582261e-01	A3B	12-15
6	6	77418	7	5.872441e-01	2.219675e-01	A3B	12-15
3	1	38547	31	6.312831e-01	1.134274e-01	A3A	16+
3	2	29962	54	1.414738e+00	1.926949e-01	A3A	16+
3	3	44685	1133	1.990312e+01	5.987471e-01	A3A	16+
4	1	15366	24	1.226037e+00	2.504591e-01	A3A	16+
4	2	30083	44	1.148113e+00	1.732111e-01	A3A	16+
4	3	25783	120	3.653431e+00	3.342863e-01	A3A	16+
4	4	30343	234	6.053554e+00	3.972562e-01	A3A	16+
5	1	10779	12	8.738881e-01	2.524102e-01	A3A	16+
5	2	56648	42	5.819930e-01	8.983676e-02	A3A	16+
5	3	23067	35	1.191050e+00	2.014769e-01	A3A	16+
5	4	38115	319	6.569735e+00	3.693706e-01	A3A	16+
5	5	18472	46	1.954776e+00	2.885746e-01	A3A	16+
6	1	12043	13	8.473479e-01	2.351388e-01	A3A	16+
6	2	20432	28	1.075722e+00	2.034317e-01	A3A	16+
6	3	19843	30	1.186771e+00	2.168375e-01	A3A	16+
6	4	22788	54	1.860119e+00	2.534298e-01	A3A	16+
6	5	20896	110	4.132212e+00	3.950266e-01	A3A	16+
6	6	17011	21	9.690418e-01	2.115927e-01	A3A	16+
3	1	38547	3	5.054675e-01	2.918432e-01	A3B	16+
3	2	29962	3	6.502990e-01	3.754691e-01	A3B	16+
3	3	44685	15	2.180179e+00	5.630142e-01	A3B	16+
4	1	15366	0	0	NaN	A3B	16+
4	2	30083	2	4.317889e-01	3.053310e-01	A3B	16+
4	3	25783	4	1.007602e+00	5.038402e-01	A3B	16+
4	4	30343	14	2.996623e+00	8.010659e-01	A3B	16+
5	1	10779	2	1.205075e+00	8.521958e-01	A3B	16+
5	2	56648	5	5.732552e-01	2.563788e-01	A3B	16+
5	3	23067	2	5.631207e-01	3.982037e-01	A3B	16+
5	4	38115	8	1.363191e+00	4.820113e-01	A3B	16+
5	5	18472	2	7.031997e-01	4.972642e-01	A3B	16+
6	1	12043	3	1.617891e+00	9.342059e-01	A3B	16+
6	2	20432	2	6.357432e-01	4.495603e-01	A3B	16+
6	3	19843	4	1.309228e+00	6.546799e-01	A3B	16+
6	4	22788	0	0	NaN	A3B	16+
6	5	20896	6	1.864879e+00	7.614430e-01	A3B	16+
6	6	17011	3	1.145392e+00	6.613505e-01	A3B	16+
